year,sido,cases,population,crude_rate
2022,충청남도,9,5561192.0,0.16183580786277474
2022,충청북도,3,4889262.0,0.061358953559862414
2023,강원도,11,3055614.0,0.3599931143135226
2023,경기도,43,38144532.0,0.11272913244813175
2023,경상남도,15,8570188.0,0.1750253319997181
2023,경상북도,17,6094714.0,0.2789302336418083
2023,광주시,21,2838474.0,0.7398341503216165
2023,대구시,9,4749920.0,0.18947687540000674
2023,대전시,8,2884432.0,0.27735096545871074
2023,부산시,6,6586724.0,0.09109232450000941
2023,서울시,30,18772068.0,0.15981190777702275
2023,울산시,2,2207322.0,0.09060753256661239
2023,인천시,8,5994820.0,0.13344854390957528
2023,전라남도,10,3608434.0,0.27712852722261233
2023,전라북도,14,4794968.0,0.2919727514344204
2023,제주도,5,1350504.0,0.3702321503675665
2023,충청남도,10,5572156.0,0.17946374796398376
2023,충청북도,4,4891316.0,0.08177758296540236
2024,강원도,7,3035532.0,0.2306020822709166
2024,경기도,50,39807344.0,0.12560496374739294
2024,경상남도,21,8456476.0,0.24833039199780146
2024,경상북도,18,6045930.0,0.2977209461571669
2024,광주시,32,2816844.0,1.136023152151841
2024,대구시,25,4727258.0,0.5288478014104583
2024,대전시,12,2878314.0,0.4169107331583698
2024,부산시,9,6533196.0,0.1377579977701572
2024,서울시,44,18663656.0,0.23575230919386855
2024,울산시,4,2196098.0,0.18214123413436012
2024,인천시,14,6042020.0,0.23171058685671347
2024,전라남도,10,3577638.0,0.27951402573429734
2024,전라북도,5,4748682.0,0.10529237375760264
2024,제주도,7,1340736.0,0.5221012936178338
2024,충청남도,12,5592988.0,0.21455436700382693
2024,충청북도,3,4891428.0,0.06133178286586249
