year,region,yearly_cases,pop,crude_rate
2002,강원도철원군,0,50532.0,0.0
2002,강원도춘천시,0,252624.0,0.0
2002,강원도태백시,0,55154.0,0.0
2002,강원도평창군,0,46262.0,0.0
2002,강원도홍천군,0,72514.0,0.0
2002,강원도화천군,0,24088.0,0.0
2002,강원도횡성군,0,45198.0,0.0
2002,경기도가평군,0,55506.0,0.0
2002,경기도고양시,0,836664.0,0.0
2002,경기도과천시,0,70488.0,0.0
2002,경기도광명시,0,340807.0,0.0
2002,경기도광주시,0,175614.0,0.0
2002,경기도구리시,0,193214.0,0.0
2002,경기도군포시,0,268559.0,0.0
2002,경기도김포시,0,193438.0,0.0
2002,경기도남양주시,0,392614.0,0.0
2002,경기도동두천시,0,73177.0,0.0
2002,경기도부천시,1,816499.0,0.12247412427939286
2002,경기도성남시,0,940974.0,0.0
2002,경기도수원시,0,1019711.0,0.0
2002,경기도시흥시,0,353860.0,0.0
2002,경기도안산시,1,628861.0,0.15901765254960953
2002,경기도안성시,0,147898.0,0.0
2002,경기도안양시,0,595142.0,0.0
2002,경기도양주시,0,143124.0,0.0
2002,경기도양평군,0,82992.0,0.0
2002,경기도여주시,0,104380.0,0.0
2002,경기도연천군,0,50372.0,0.0
2002,경기도오산시,0,115956.0,0.0
2002,경기도용인시,0,525622.0,0.0
2002,경기도의왕시,0,133395.0,0.0
2002,경기도의정부시,0,378424.0,0.0
2002,경기도이천시,0,189526.0,0.0
2002,경기도파주시,0,235147.0,0.0
2002,경기도평택시,0,358531.0,0.0
2002,경기도포천시,0,152507.0,0.0
2002,경기도하남시,0,127541.0,0.0
2002,경기도화성시,0,226930.0,0.0
2002,경상남도거제시,0,182035.0,0.0
2002,경상남도거창군,0,67224.0,0.0
2002,경상남도고성군,0,60374.0,0.0
2002,경상남도김해시,0,390292.0,0.0
2002,경상남도남해군,0,55958.0,0.0
2002,경상남도밀양시,0,120342.0,0.0
2002,경상남도사천시,0,117076.0,0.0
2002,경상남도산청군,0,38726.0,0.0
2002,경상남도양산시,0,205958.0,0.0
2002,경상남도의령군,0,32751.0,0.0
2002,경상남도진주시,0,339943.0,0.0
2002,경상남도창녕군,0,69220.0,0.0
2002,경상남도창원시,0,1087686.0,0.0
2002,경상남도통영시,0,134107.0,0.0
2002,경상남도하동군,0,56777.0,0.0
2002,경상남도함안군,0,64318.0,0.0
2002,경상남도함양군,0,43982.0,0.0
2002,경상남도합천군,0,57649.0,0.0
2002,경상북도경산시,0,218446.0,0.0
2002,경상북도경주시,0,284589.0,0.0
2002,경상북도고령군,0,35978.0,0.0
2002,경상북도구미시,0,350011.0,0.0
2002,경상북도김천시,0,146666.0,0.0
2002,경상북도문경시,0,83749.0,0.0
2002,경상북도봉화군,0,39852.0,0.0
2002,경상북도상주시,0,118999.0,0.0
2002,경상북도성주군,0,51761.0,0.0
2002,경상북도안동시,0,179326.0,0.0
2002,경상북도영덕군,0,52602.0,0.0
2002,경상북도영양군,0,21385.0,0.0
2002,경상북도영주시,0,126040.0,0.0
2002,경상북도영천시,0,115401.0,0.0
2002,경상북도예천군,0,55746.0,0.0
2002,경상북도울릉군,0,9615.0,0.0
2002,경상북도울진군,0,63511.0,0.0
2002,경상북도의성군,0,70863.0,0.0
2002,경상북도청도군,0,50716.0,0.0
2002,경상북도청송군,0,32323.0,0.0
2002,경상북도칠곡군,0,105844.0,0.0
2002,경상북도포항시,0,511667.0,0.0
